what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1499589968089
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1499589997488
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.AllMarkersView",1499590002553
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1499590011222
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1499590046313
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1499590297462
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1499590300964
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.linkWithEditor",1499590301071
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1499590307588
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1499590315285
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1499590315605
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1499590315767
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1499590322602
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1499590325731
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1499590330263
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1499590334063
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1499590343538
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1499590344065
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1499590346084
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1499590348371
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1499590351779
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1499590358369
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1499590362315
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1499590367765
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1499590367774
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1499590382752
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1499590390983
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1499590399948
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1499590402048
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1499590404492
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1499590406132
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1499590408303
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1499590410423
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1499590412165
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1499590412855
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1499590413967
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1499590415075
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1499590415807
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1499590416322
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1499590572998
