what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1497706774528
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1497706777983
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1497706831872
started,bundle,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser",1497706833402
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1497706833552
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1497706833572
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1497706834063
started,bundle,com.sysdeo.eclipse.tomcat,3.2.1,"com.sysdeo.eclipse.tomcat",1497706846321
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1497706926463
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1497706926479
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1497706927998
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1497706928272
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1497706928368
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1497706929562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1497706930367
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1497706932100
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1497706932289
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1497706936555
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1497706939087
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1497706972633
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1497706977147
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1497706978791
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1497706979301
