what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1498055181638
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1498055182820
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1498055184373
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1498055184663
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1498055185239
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498055186314
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498055188711
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1498055192666
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498055193176
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498055214564
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1498055217585
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1498055222018
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1498055227818
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498055228874
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498055231716
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498055253577
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498055405542
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498055406648
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498055588179
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1498055606360
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1498055612870
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1498055613268
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1498055613619
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1498055614217
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1498055618094
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1498055622637
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1498055623214
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1498055623479
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1498055648980
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1498055650419
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1498055660026
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498055661242
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498055664818
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1498055675278
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1498055684679
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498055686393
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498055689182
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1498055695710
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498055696537
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498055701300
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1498055710459
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1498055716773
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1498055723819
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498055724617
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498055837069
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1498055839135
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1498055842737
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498055843953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498055847012
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1498055851006
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1498055853319
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498055853802
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498055856948
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1498055861555
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1498055866713
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498055867459
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498055872923
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1498055900469
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1498055905411
